,dbn,school_name,borough,location,trees,crashes,pc,shootings,arrests,programs,bins
0,01M292,Henry Street School for International Studies,Manhattan,"(40.713684, -73.986336)",3.0,21.0,5.0,14.0,73.0,17.0,1.0
1,01M448,University Neighborhood High School,Manhattan,"(40.712399, -73.984497)",3.0,15.0,5.0,13.0,54.0,12.0,0.0
2,01M450,East Side Community School,Manhattan,"(40.729589, -73.982555)",28.0,18.0,4.0,6.0,15.0,2.0,3.0
3,01M509,Marta Valle High School,Manhattan,"(40.720581, -73.985645)",55.0,27.0,3.0,22.0,44.0,13.0,2.0
4,01M539,"New Explorations into Science, Technology and Math High School",Manhattan,"(40.718895, -73.979308)",28.0,17.0,5.0,28.0,32.0,4.0,9.0
5,01M696,Bard High School Early College,Manhattan,"(40.719029, -73.975891)",2.0,11.0,3.0,15.0,26.0,0.0,10.0
6,02M047,47 The American Sign Language and English Secondary School,Manhattan,"(40.738548, -73.982455)",88.0,24.0,2.0,4.0,58.0,0.0,1.0
7,02M135,The Urban Assembly School for Emergency Management,Manhattan,"(40.711442, -74.000851)",28.0,12.0,3.0,18.0,63.0,3.0,20.0
8,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,Manhattan,"(40.76337, -73.990593)",78.0,24.0,1.0,6.0,64.0,0.0,1.0
9,02M260,M.S. 260 Clinton School Writers & Artists,Manhattan,"(40.753091, -73.99764)",,,,,,,
10,02M280,Manhattan Early College School for Advertising,Manhattan,"(40.711442, -74.000851)",,,,,,,
11,02M282,Urban Assembly Maker Academy,Manhattan,"(40.711442, -74.000851)",28.0,12.0,3.0,18.0,63.0,3.0,20.0
12,02M288,Food and Finance High School,Manhattan,"(40.765184, -73.992953)",57.0,17.0,2.0,4.0,16.0,0.0,0.0
13,02M294,Essex Street Academy,Manhattan,"(40.716778, -73.989337)",26.0,28.0,1.0,7.0,85.0,10.0,2.0
14,02M296,High School of Hospitality Management,Manhattan,"(40.765184, -73.992953)",57.0,17.0,2.0,4.0,16.0,0.0,0.0
15,02M298,Pace High School,Manhattan,"(40.716553, -73.993092)",37.0,36.0,3.0,7.0,70.0,8.0,2.0
16,02M300,"Urban Assembly School of Design and Construction, The",Manhattan,"(40.765184, -73.992953)",57.0,17.0,2.0,4.0,16.0,0.0,0.0
17,02M303,"Facing History School, The",Manhattan,"(40.765184, -73.992953)",57.0,17.0,2.0,4.0,16.0,0.0,0.0
18,02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,"(40.716778, -73.989337)",26.0,28.0,1.0,7.0,85.0,10.0,2.0
19,02M308,Lower Manhattan Arts Academy,Manhattan,"(40.716778, -73.989337)",26.0,28.0,1.0,7.0,85.0,10.0,2.0
20,02M316,"Urban Assembly School of Business for Young Women, the",Manhattan,"(40.70568, -74.013302)",7.0,12.0,0.0,4.0,10.0,0.0,7.0
21,02M374,Gramercy Arts High School,Manhattan,"(40.735494, -73.987659)",9.0,19.0,0.0,8.0,90.0,1.0,7.0
22,02M376,NYC iSchool,Manhattan,"(40.7244, -74.004625)",8.0,34.0,0.0,2.0,52.0,5.0,1.0
23,02M392,MANHATTAN BUSINESS ACADEMY,Manhattan,"(40.742867, -74.002136)",4.0,21.0,0.0,8.0,72.0,0.0,4.0
24,02M393,BUSINESS OF SPORTS SCHOOL,Manhattan,"(40.76337, -73.990593)",78.0,24.0,1.0,6.0,64.0,0.0,1.0
25,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Manhattan,"(40.735494, -73.987659)",9.0,19.0,0.0,8.0,90.0,1.0,7.0
26,02M400,High School for Environmental Studies,Manhattan,"(40.767791, -73.987531)",77.0,15.0,3.0,5.0,68.0,0.0,0.0
27,02M407,Institute for Collaborative Education,Manhattan,"(40.732447, -73.983031)",27.0,13.0,1.0,7.0,23.0,2.0,0.0
28,02M408,Professional Performing Arts High School,Manhattan,"(40.761448, -73.988019)",76.0,38.0,2.0,6.0,112.0,0.0,1.0
29,02M411,Baruch College Campus High School,Manhattan,"(40.74193, -73.986521)",20.0,25.0,0.0,6.0,18.0,0.0,0.0
30,02M412,N.Y.C. Lab School for Collaborative Studies,Manhattan,"(40.742129, -74.002198)",5.0,20.0,0.0,8.0,71.0,0.0,3.0
31,02M413,School of the Future High School,Manhattan,"(40.738952, -73.985479)",42.0,28.0,2.0,8.0,63.0,1.0,3.0
32,02M414,N.Y.C. Museum School,Manhattan,"(40.742129, -74.002198)",5.0,20.0,0.0,8.0,71.0,0.0,3.0
33,02M416,Eleanor Roosevelt High School,Manhattan,"(40.770187, -73.953608)",58.0,18.0,3.0,0.0,7.0,0.0,1.0
34,02M418,Millennium High School,Manhattan,"(40.704487, -74.011556)",3.0,11.0,0.0,4.0,10.0,0.0,8.0
35,02M419,Landmark High School,Manhattan,"(40.742867, -74.002136)",4.0,21.0,0.0,8.0,72.0,0.0,4.0
36,02M420,High School for Health Professions and Human Services,Manhattan,"(40.732447, -73.983031)",27.0,13.0,1.0,7.0,23.0,2.0,0.0
37,02M422,Quest to Learn,Manhattan,"(40.742867, -74.002136)",4.0,21.0,0.0,8.0,72.0,0.0,4.0
38,02M425,Leadership and Public Service High School,Manhattan,"(40.70873, -74.012332)",10.0,17.0,0.0,4.0,31.0,3.0,3.0
39,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Manhattan,"(40.746176, -73.981241)",52.0,27.0,2.0,2.0,20.0,0.0,0.0
40,02M432,Murray Hill Academy,Manhattan,"(40.746176, -73.981241)",52.0,27.0,2.0,2.0,20.0,0.0,0.0
41,02M437,Hudson High School of Learning Technologies,Manhattan,"(40.742867, -74.002136)",4.0,21.0,0.0,8.0,72.0,0.0,4.0
42,02M438,International High School at Union Square,Manhattan,"(40.735494, -73.987659)",9.0,19.0,0.0,8.0,90.0,1.0,7.0
43,02M439,Manhattan Village Academy,Manhattan,"(40.741497, -73.991512)",2.0,24.0,3.0,9.0,30.0,0.0,0.0
44,02M449,Vanguard High School,Manhattan,"(40.765359, -73.960059)",73.0,26.0,1.0,3.0,50.0,0.0,1.0
45,02M459,Manhattan International High School,Manhattan,"(40.765359, -73.960059)",73.0,26.0,1.0,3.0,50.0,0.0,1.0
46,02M475,Stuyvesant High School,Manhattan,"(40.71759, -74.013748)",0.0,11.0,1.0,0.0,5.0,1.0,8.0
47,02M489,High School of Economics and Finance,Manhattan,"(40.709196, -74.012022)",5.0,17.0,0.0,4.0,31.0,3.0,3.0
48,02M500,Unity Center for Urban Technologies,Manhattan,"(40.746176, -73.981241)",52.0,27.0,2.0,2.0,20.0,0.0,0.0
49,02M507,Urban Assembly Gateway School for Technology,Manhattan,"(40.76337, -73.990593)",78.0,24.0,1.0,6.0,64.0,0.0,1.0
50,02M519,Talent Unlimited High School,Manhattan,"(40.765359, -73.960059)",73.0,26.0,1.0,3.0,50.0,0.0,1.0
51,02M520,Murry Bergtraum High School for Business Careers,Manhattan,"(40.711442, -74.000851)",28.0,12.0,3.0,18.0,63.0,3.0,20.0
52,02M529,Jacqueline Kennedy Onassis High School,Manhattan,"(40.757729, -73.983078)",15.0,27.0,1.0,4.0,64.0,1.0,3.0
53,02M531,Repertory Company High School for Theatre Arts,Manhattan,"(40.755843, -73.984382)",15.0,29.0,2.0,5.0,70.0,1.0,4.0
54,02M533,Union Square Academy for Health Sciences,Manhattan,"(40.735494, -73.987659)",9.0,19.0,0.0,8.0,90.0,1.0,7.0
55,02M534,Harvest Collegiate High School,Manhattan,"(40.736518, -73.994858)",19.0,20.0,2.0,2.0,52.0,0.0,7.0
56,02M542,Manhattan Bridges High School,Manhattan,"(40.765184, -73.992953)",57.0,17.0,2.0,4.0,16.0,0.0,0.0
57,02M543,New Design High School,Manhattan,"(40.716778, -73.989337)",26.0,28.0,1.0,7.0,85.0,10.0,2.0
58,02M545,High School for Dual Language and Asian Studies,Manhattan,"(40.716778, -73.989337)",26.0,28.0,1.0,7.0,85.0,10.0,2.0
59,02M546,Academy for Software Engineering,Manhattan,"(40.735494, -73.987659)",9.0,19.0,0.0,8.0,90.0,1.0,7.0
60,02M551,Urban Assembly New York Harbor School,Manhattan,"(40.701695, -74.011631)",0.0,4.0,0.0,1.0,4.0,0.0,4.0
61,02M580,Richard R. Green High School of Teaching,Manhattan,"(40.70568, -74.013302)",7.0,12.0,0.0,4.0,10.0,0.0,7.0
62,02M600,The High School of Fashion Industries,Manhattan,"(40.745156, -73.996074)",10.0,25.0,4.0,8.0,63.0,0.0,0.0
63,02M605,Humanities Preparatory Academy,Manhattan,"(40.742867, -74.002136)",4.0,21.0,0.0,8.0,72.0,0.0,4.0
64,02M615,Chelsea Career and Technical Education High School,Manhattan,"(40.7244, -74.004625)",8.0,34.0,0.0,2.0,52.0,5.0,1.0
65,02M630,Art and Design High School,Manhattan,"(40.75924, -73.967203)",12.0,42.0,2.0,0.0,58.0,2.0,2.0
66,02M655,Life Sciences Secondary School,Manhattan,"(40.783625, -73.945637)",15.0,28.0,3.0,9.0,23.0,9.0,1.0
67,03M299,"High School for Arts, Imagination and Inquiry",Manhattan,"(40.774351, -73.984753)",88.0,7.0,5.0,7.0,20.0,0.0,2.0
68,03M307,"Urban Assembly School for Media Studies, The",Manhattan,"(40.774351, -73.984753)",88.0,7.0,5.0,7.0,20.0,0.0,2.0
69,03M402,The Urban Assembly School for Green Careers,Manhattan,"(40.785803, -73.974614)",183.0,24.0,1.0,7.0,32.0,0.0,4.0
70,03M403,The Global Learning Collaborative,Manhattan,"(40.785803, -73.974614)",183.0,24.0,1.0,7.0,32.0,0.0,4.0
71,03M415,Wadleigh Secondary School for the Performing & Visual Arts,Manhattan,"(40.802207, -73.954142)",57.0,33.0,1.0,59.0,28.0,1.0,3.0
72,03M417,FRANK McCOURT HIGH SCHOOL,Manhattan,"(40.785803, -73.974614)",183.0,24.0,1.0,7.0,32.0,0.0,4.0
73,03M479,Beacon High School,Manhattan,"(40.772007, -73.987479)",59.0,15.0,5.0,7.0,11.0,0.0,1.0
