;dbn;school_name;borough;latitude;longitude;location;avg_perc Grads;latitude_rad;longitude_rad;trees;crashes;pc;shootings;arrests;programs;bins
0;01M292;Henry Street School for International Studies;Manhattan;40.713684;-73.986336;(40.713684, -73.986336);60.27608695652174;0.710587836416535;-1.2913051646868112;709;3256;5;43;22661;17;1
1;01M448;University Neighborhood High School;Manhattan;40.712399;-73.984497;(40.712399, -73.984497);76.075;0.7105654089356469;-1.2912730680818674;582;2041;5;39;16873;12;0
2;01M450;East Side Community School;Manhattan;40.729589;-73.982555;(40.729589, -73.982555);79.26730769230768;0.7108654310340646;-1.2912391737877935;1194;4226;4;15;12535;2;3
3;01M509;Marta Valle High School;Manhattan;40.720581;-73.985645;(40.720581, -73.985645);58.33269230769231;0.7107082117750452;-1.2912931044616802;1151;7561;3;47;26241;13;2
4;01M539;New Explorations into Science, Technology and Math High School;Manhattan;40.718895;-73.979308;(40.718895, -73.979308);97.88653846153846;0.7106787855238565;-1.2911825029469812;664;3311;5;75;19616;4;9
5;01M696;Bard High School Early College;Manhattan;40.719029;-73.975891;(40.719029, -73.975891);97.42884615384615;0.7106811242650541;-1.2911228650464406;317;2171;3;48;14442;0;10
6;02M047;47 The American Sign Language and English Secondary School;Manhattan;40.738548;-73.982455;(40.738548, -73.982455);62.79807692307692;0.7110217950817509;-1.2912374284585415;1287;7603;2;16;28204;0;1
7;02M135;The Urban Assembly School for Emergency Management;Manhattan;40.711442;-74.000851;(40.711442, -74.000851);70.85;0.7105487061347053;-1.2915584992277382;472;4416;3;28;22267;3;20
8;02M139;Stephen T. Mather Building Arts & Craftsmanship High School;Manhattan;40.76337;-73.990593;(40.76337, -73.990593);82.7;0.7114550207086809;-1.2913794633530689;1243;6910;1;11;23929;0;1
9;02M260;M.S. 260 Clinton School Writers & Artists;Manhattan;40.753091;-73.99764;(40.753091, -73.99764);;0.7112756183148684;-1.291502456705457;493;9106;0;20;39263;0;1
10;02M280;Manhattan Early College School for Advertising;Manhattan;40.711442;-74.000851;(40.711442, -74.000851);;0.7105487061347053;-1.2915584992277382;472;4416;3;28;22267;3;20
11;02M282;Urban Assembly Maker Academy;Manhattan;40.711442;-74.000851;(40.711442, -74.000851);;0.7105487061347053;-1.2915584992277382;472;4416;3;28;22267;3;20
12;02M288;Food and Finance High School;Manhattan;40.765184;-73.992953;(40.765184, -73.992953);80.99130434782609;0.7114866809813121;-1.2914206531234158;1047;5436;2;10;6966;0;0
13;02M294;Essex Street Academy;Manhattan;40.716778;-73.989337;(40.716778, -73.989337);75.03260869565217;0.7106418369035917;-1.2913575420176637;1005;8113;1;20;34895;10;2
14;02M296;High School of Hospitality Management;Manhattan;40.765184;-73.992953;(40.765184, -73.992953);79.16976744186047;0.7114866809813121;-1.2914206531234158;1047;5436;2;10;6966;0;0
15;02M298;Pace High School;Manhattan;40.716553;-73.993092;(40.716553, -73.993092);90.66511627906976;0.7106379099127748;-1.2914230791310761;798;10366;3;20;34278;8;2
16;02M300;Urban Assembly School of Design and Construction, The;Manhattan;40.765184;-73.992953;(40.765184, -73.992953);66.56739130434782;0.7114866809813121;-1.2914206531234158;1047;5436;2;10;6966;0;0
17;02M303;Facing History School, The;Manhattan;40.765184;-73.992953;(40.765184, -73.992953);65.0625;0.7114866809813121;-1.2914206531234158;1047;5436;2;10;6966;0;0
18;02M305;Urban Assembly Academy of Government and Law, The;Manhattan;40.716778;-73.989337;(40.716778, -73.989337);80.75750000000001;0.7106418369035917;-1.2913575420176637;1005;8113;1;20;34895;10;2
19;02M308;Lower Manhattan Arts Academy;Manhattan;40.716778;-73.989337;(40.716778, -73.989337);76.7475;0.7106418369035917;-1.2913575420176637;1005;8113;1;20;34895;10;2
20;02M316;Urban Assembly School of Business for Young Women, the;Manhattan;40.70568;-74.013302;(40.70568, -74.013302);77.80499999999999;0.7104481402632055;-1.291775810172904;530;4675;0;5;8815;0;7
21;02M374;Gramercy Arts High School;Manhattan;40.735494;-73.987659;(40.735494, -73.987659);79.8075;0.7109684927263951;-1.2913282553928151;1058;6692;0;24;44386;1;7
22;02M376;NYC iSchool;Manhattan;40.7244;-74.004625;(40.7244, -74.004625);97.48076923076923;0.7107748658991788;-1.2916243679537087;984;7909;0;7;24559;5;1
23;02M392;MANHATTAN BUSINESS ACADEMY;Manhattan;40.742867;-74.002136;(40.742867, -74.002136);86.5952380952381;0.7110971758521445;-1.2915809267086265;1064;5631;0;20;29042;0;4
24;02M393;BUSINESS OF SPORTS SCHOOL;Manhattan;40.76337;-73.990593;(40.76337, -73.990593);75.32857142857142;0.7114550207086809;-1.2913794633530689;1243;6910;1;11;23929;0;1
25;02M399;THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY;Manhattan;40.735494;-73.987659;(40.735494, -73.987659);73.43333333333332;0.7109684927263951;-1.2913282553928151;1058;6692;0;24;44386;1;7
26;02M400;High School for Environmental Studies;Manhattan;40.767791;-73.987531;(40.767791, -73.987531);83.50576923076923;0.7115321817149116;-1.2913260213713729;1138;6591;3;8;25690;0;0
27;02M407;Institute for Collaborative Education;Manhattan;40.732447;-73.983031;(40.732447, -73.983031);87.82499999999999;0.7109153125440867;-1.291247481555033;1160;5225;1;16;11859;2;0
28;02M408;Professional Performing Arts High School;Manhattan;40.761448;-73.988019;(40.761448, -73.988019);93.86923076923077;0.7114214754804576;-1.2913345385781223;884;10518;2;13;60013;0;1
29;02M411;Baruch College Campus High School;Manhattan;40.74193;-73.986521;(40.74193, -73.986521);99.4076923076923;0.7110808221170534;-1.2913083935459275;733;7076;0;22;16214;0;0
30;02M412;N.Y.C. Lab School for Collaborative Studies;Manhattan;40.742129;-74.002198;(40.742129, -74.002198);97.275;0.7110842953222648;-1.2915820088127627;1102;5899;0;21;30297;0;3
31;02M413;School of the Future High School;Manhattan;40.738952;-73.985479;(40.738952, -73.985479);90.6846153846154;0.711028846211929;-1.2912902072151218;1103;7588;2;24;28849;1;3
32;02M414;N.Y.C. Museum School;Manhattan;40.742129;-74.002198;(40.742129, -74.002198);96.5653846153846;0.7110842953222648;-1.2915820088127627;1102;5899;0;21;30297;0;3
33;02M416;Eleanor Roosevelt High School;Manhattan;40.770187;-73.953608;(40.770187, -73.953608);99.54081632653062;0.7115739998037894;-1.2907339533292188;1400;6355;3;0;3719;0;1
34;02M418;Millennium High School;Manhattan;40.704487;-74.011556;(40.704487, -74.011556);98.4857142857143;0.7104273184852291;-1.2917453367241643;385;4189;0;5;8020;0;8
35;02M419;Landmark High School;Manhattan;40.742867;-74.002136;(40.742867, -74.002136);61.736538461538466;0.7110971758521445;-1.2915809267086265;1064;5631;0;20;29042;0;4
36;02M420;High School for Health Professions and Human Services;Manhattan;40.732447;-73.983031;(40.732447, -73.983031);87.9076923076923;0.7109153125440867;-1.291247481555033;1160;5225;1;16;11859;2;0
37;02M422;Quest to Learn;Manhattan;40.742867;-74.002136;(40.742867, -74.002136);79.81666666666666;0.7110971758521445;-1.2915809267086265;1064;5631;0;20;29042;0;4
38;02M425;Leadership and Public Service High School;Manhattan;40.70873;-74.012332;(40.70873, -74.012332);68.66153846153847;0.7105013728053913;-1.2917588804791598;523;4905;0;6;15535;3;3
39;02M427;MANHATTAN ACADEMY FOR ARTS & LANGUAGE;Manhattan;40.746176;-73.981241;(40.746176, -73.981241);57.45;0.711154928797093;-1.2912162401614222;1117;10821;2;4;15373;0;0
40;02M432;Murray Hill Academy;Manhattan;40.746176;-73.981241;(40.746176, -73.981241);64.03809523809524;0.711154928797093;-1.2912162401614222;1117;10821;2;4;15373;0;0
41;02M437;Hudson High School of Learning Technologies;Manhattan;40.742867;-74.002136;(40.742867, -74.002136);82.5;0.7110971758521445;-1.2915809267086265;1064;5631;0;20;29042;0;4
42;02M438;International High School at Union Square;Manhattan;40.735494;-73.987659;(40.735494, -73.987659);59.4125;0.7109684927263951;-1.2913282553928151;1058;6692;0;24;44386;1;7
43;02M439;Manhattan Village Academy;Manhattan;40.741497;-73.991512;(40.741497, -73.991512);96.2173076923077;0.7110732648413922;-1.2913955029288946;537;7502;3;28;16503;0;0
44;02M449;Vanguard High School;Manhattan;40.765359;-73.960059;(40.765359, -73.960059);72.72115384615384;0.711489735307503;-1.2908465445192647;1494;8157;1;3;13020;0;1
45;02M459;Manhattan International High School;Manhattan;40.765359;-73.960059;(40.765359, -73.960059);73.94615384615385;0.711489735307503;-1.2908465445192647;1494;8157;1;3;13020;0;1
46;02M475;Stuyvesant High School;Manhattan;40.71759;-74.013748;(40.71759, -74.013748);98.67307692307692;0.710656008977118;-1.2917835943413682;827;2760;1;0;1964;1;8
47;02M489;High School of Economics and Finance;Manhattan;40.709196;-74.012022;(40.709196, -74.012022);82.27307692307691;0.7105095060397055;-1.2917534699584787;466;4883;0;6;15671;3;3
48;02M500;Unity Center for Urban Technologies;Manhattan;40.746176;-73.981241;(40.746176, -73.981241);68.13846153846154;0.711154928797093;-1.2912162401614222;1117;10821;2;4;15373;0;0
49;02M507;Urban Assembly Gateway School for Technology;Manhattan;40.76337;-73.990593;(40.76337, -73.990593);89.48181818181818;0.7114550207086809;-1.2913794633530689;1243;6910;1;11;23929;0;1
50;02M519;Talent Unlimited High School;Manhattan;40.765359;-73.960059;(40.765359, -73.960059);95.00192307692308;0.711489735307503;-1.2908465445192647;1494;8157;1;3;13020;0;1
51;02M520;Murry Bergtraum High School for Business Careers;Manhattan;40.711442;-74.000851;(40.711442, -74.000851);62.69423076923077;0.7105487061347053;-1.2915584992277382;472;4416;3;28;22267;3;20
