,latitude,longitude,location
0,40.890848989,-73.864223918,"(40.890848989, -73.864223918)"
1,40.8488907878,-73.8771283938,"(40.8488907878, -73.8771283938)"
2,40.85557,-73.887565,"(40.85557, -73.887565)"
3,40.871864,-73.805549,"(40.871864, -73.805549)"
4,40.851889,-73.868549,"(40.851889, -73.868549)"
5,40.861526,-73.880659,"(40.861526, -73.880659)"
6,40.860755,-73.880423,"(40.860755, -73.880423)"
7,40.859644,-73.880472,"(40.859644, -73.880472)"
8,40.862602,-73.880171,"(40.862602, -73.880171)"
9,40.826939,-73.922314,"(40.826939, -73.922314)"
10,40.826627,-73.922447,"(40.826627, -73.922447)"
11,40.854322,-73.869764,"(40.854322, -73.869764)"
12,40.854445,-73.869863,"(40.854445, -73.869863)"
13,40.84976,-73.880055,"(40.84976, -73.880055)"
14,40.850017,-73.880035,"(40.850017, -73.880035)"
15,40.819933,-73.887069,"(40.819933, -73.887069)"
16,40.871706,-73.872741,"(40.871706, -73.872741)"
17,40.911295,-73.907652,"(40.911295, -73.907652)"
18,40.911236,-73.90791,"(40.911236, -73.90791)"
19,40.825217,-73.88546,"(40.825217, -73.88546)"
20,40.840115,-73.895513,"(40.840115, -73.895513)"
21,40.835226,-73.895652,"(40.835226, -73.895652)"
22,40.84133,-73.892702,"(40.84133, -73.892702)"
23,40.840876,-73.898206,"(40.840876, -73.898206)"
24,40.838351,-73.893566,"(40.838351, -73.893566)"
25,40.841123,-73.898056,"(40.841123, -73.898056)"
26,40.83377,-73.877453,"(40.83377, -73.877453)"
27,40.841444,-73.888487,"(40.841444, -73.888487)"
28,40.875553,-73.860526,"(40.875553, -73.860526)"
29,40.833109,-73.828285,"(40.833109, -73.828285)"
30,40.85042,-73.915529,"(40.85042, -73.915529)"
31,40.849292,-73.902175,"(40.849292, -73.902175)"
32,40.822893,-73.91266,"(40.822893, -73.91266)"
33,40.813663,-73.905898,"(40.813663, -73.905898)"
34,40.82201,-73.914009,"(40.82201, -73.914009)"
35,40.862402,-73.897174,"(40.862402, -73.897174)"
36,40.861379,-73.881414,"(40.861379, -73.881414)"
37,40.861267,-73.89014,"(40.861267, -73.89014)"
38,40.861948,-73.893726,"(40.861948, -73.893726)"
39,40.869996,-73.876238,"(40.869996, -73.876238)"
40,40.847026,-73.882534,"(40.847026, -73.882534)"
41,40.816171,-73.917594,"(40.816171, -73.917594)"
42,40.814213,-73.885886,"(40.814213, -73.885886)"
43,40.814213,-73.885886,"(40.814213, -73.885886)"
44,40.817471,-73.882622,"(40.817471, -73.882622)"
45,40.81484,-73.90691,"(40.81484, -73.90691)"
46,40.858005,-73.90485,"(40.858005, -73.90485)"
47,40.829632,-73.921933,"(40.829632, -73.921933)"
48,40.827502,-73.923062,"(40.827502, -73.923062)"
49,40.877667,-73.90062,"(40.877667, -73.90062)"
50,40.835694,-73.925664,"(40.835694, -73.925664)"
51,40.8229705286,-73.9128832182,"(40.8229705286, -73.9128832182)"
