,latitude,longitude,location
0,40.819363,-73.893074,"(40.819363, -73.893074)"
1,40.71655,-73.801926,"(40.71655, -73.801926)"
2,40.68804,-73.74179,"(40.68804, -73.74179)"
3,40.70377,-73.93116,"(40.70377, -73.93116)"
4,40.78378,-73.94741,"(40.78378, -73.94741)"
5,40.616077,-74.037384,"(40.616077, -74.037384)"
6,40.86314,-73.8636,"(40.86314, -73.8636)"
7,40.707714,-73.802795,"(40.707714, -73.802795)"
8,40.64123,-73.90841,"(40.64123, -73.90841)"
9,40.815,-73.89402,"(40.815, -73.89402)"
10,40.870388,-73.90153,"(40.870388, -73.90153)"
11,40.682327,-73.83908,"(40.682327, -73.83908)"
12,40.74486,-73.71112,"(40.74486, -73.71112)"
13,40.70281,-73.9254,"(40.70281, -73.9254)"
14,40.61074,-74.09583,"(40.61074, -74.09583)"
15,40.834915,-73.894135,"(40.834915, -73.894135)"
16,40.70219,-73.928345,"(40.70219, -73.928345)"
17,40.733665,-73.959885,"(40.733665, -73.959885)"
18,40.578938,-73.98522,"(40.578938, -73.98522)"
20,40.61731,-74.027214,"(40.61731, -74.027214)"
21,40.817196,-73.90506,"(40.817196, -73.90506)"
22,40.682358,-73.76714,"(40.682358, -73.76714)"
23,40.69365,-73.98333,"(40.69365, -73.98333)"
24,40.59493,-74.09799,"(40.59493, -74.09799)"
25,40.658176,-73.73115,"(40.658176, -73.73115)"
26,40.8147,-73.91859,"(40.8147, -73.91859)"
27,40.783268,-73.982735,"(40.783268, -73.982735)"
28,40.741135,-73.8986,"(40.741135, -73.8986)"
30,40.741405,-73.85777,"(40.741405, -73.85777)"
31,40.770752,-73.95695,"(40.770752, -73.95695)"
32,40.734295,-73.97455,"(40.734295, -73.97455)"
33,40.708626,-73.94513,"(40.708626, -73.94513)"
34,40.838238,-73.876686,"(40.838238, -73.876686)"
35,40.657406,-73.89881,"(40.657406, -73.89881)"
36,40.804344,-73.92158,"(40.804344, -73.92158)"
37,40.854458,-73.86576,"(40.854458, -73.86576)"
38,40.73409,-73.8693,"(40.73409, -73.8693)"
39,40.708168,-73.95067,"(40.708168, -73.95067)"
40,40.7847,-73.843056,"(40.7847, -73.843056)"
41,40.663124,-73.96244,"(40.663124, -73.96244)"
42,40.811638,-73.9316,"(40.811638, -73.9316)"
43,40.681126,-73.96446,"(40.681126, -73.96446)"
44,40.681473,-73.72776,"(40.681473, -73.72776)"
45,40.611355,-73.9432,"(40.611355, -73.9432)"
46,40.802223,-73.946144,"(40.802223, -73.946144)"
47,40.664375,-73.95604,"(40.664375, -73.95604)"
48,40.630466,-74.156494,"(40.630466, -74.156494)"
49,40.829597,-73.902245,"(40.829597, -73.902245)"
50,40.86221,-73.89965,"(40.86221, -73.89965)"
51,40.736008,-73.80667,"(40.736008, -73.80667)"
52,40.61701,-73.969124,"(40.61701, -73.969124)"
53,40.836403,-73.875595,"(40.836403, -73.875595)"
54,40.80098,-73.93178,"(40.80098, -73.93178)"
55,40.87626,-73.90395,"(40.87626, -73.90395)"
