,latitude,longitude,location
0,40.721434,-73.819422,"(40.721434, -73.819422)"
1,40.870509,-73.829062,"(40.870509, -73.829062)"
2,40.75777407,-73.82888469,"(40.75777407, -73.82888469)"
3,40.760948,-73.723273,"(40.760948, -73.723273)"
4,40.627218,-73.971057,"(40.627218, -73.971057)"
5,40.835141,-73.861061,"(40.835141, -73.861061)"
6,40.774856,-73.987268,"(40.774856, -73.987268)"
7,40.67388,-73.938974,"(40.67388, -73.938974)"
8,40.855076,-73.904199,"(40.855076, -73.904199)"
9,40.812794,-73.939251,"(40.812794, -73.939251)"
10,40.821708,-73.920388,"(40.821708, -73.920388)"
11,40.731739,-73.86569,"(40.731739, -73.86569)"
12,40.5877,-73.817,"(40.5877, -73.817)"
13,40.751287,-73.856043,"(40.751287, -73.856043)"
14,40.8394,-73.9447,"(40.8394, -73.9447)"
15,40.77501,-73.98689,"(40.77501, -73.98689)"
16,40.781149,-73.946242,"(40.781149, -73.946242)"
17,40.84110509,-73.84662166,"(40.84110509, -73.84662166)"
18,40.673814,-73.934902,"(40.673814, -73.934902)"
19,40.668857,-73.864436,"(40.668857, -73.864436)"
20,40.674532,-73.770698,"(40.674532, -73.770698)"
21,40.793654,-73.936756,"(40.793654, -73.936756)"
22,40.70076527,-73.83162542,"(40.70076527, -73.83162542)"
23,40.76071,-73.97655,"(40.76071, -73.97655)"
24,40.6945,-73.97774,"(40.6945, -73.97774)"
25,40.669409,-73.905494,"(40.669409, -73.905494)"
26,40.70257666,-73.87579711,"(40.70257666, -73.87579711)"
27,40.786574,-73.948303,"(40.786574, -73.948303)"
28,40.817346,-73.940237,"(40.817346, -73.940237)"
29,40.63471,-74.16661,"(40.63471, -74.16661)"
30,40.67286,-73.7706,"(40.67286, -73.7706)"
31,40.81468863,-73.94095299,"(40.81468863, -73.94095299)"
32,40.648781,-73.976751,"(40.648781, -73.976751)"
33,40.753806,-73.910799,"(40.753806, -73.910799)"
34,40.8337363,-73.85835522,"(40.8337363, -73.85835522)"
35,40.82421,-73.942472,"(40.82421, -73.942472)"
36,40.591935,-73.978747,"(40.591935, -73.978747)"
37,40.663463,-73.905621,"(40.663463, -73.905621)"
38,40.68068711,-73.88723951,"(40.68068711, -73.88723951)"
39,40.883026,-73.833227,"(40.883026, -73.833227)"
40,40.574077,-73.990502,"(40.574077, -73.990502)"
41,40.74080878,-73.92166916,"(40.74080878, -73.92166916)"
42,40.68737909,-73.96603067,"(40.68737909, -73.96603067)"
43,40.786234,-73.846,"(40.786234, -73.846)"
