,latitude,longitude,location
20,40.748623,-73.874487,"(40.748623, -73.874487)"
24,40.642992,-74.076954,"(40.642992, -74.076954)"
25,40.609102,-73.753359,"(40.609102, -73.753359)"
27,40.61527,-73.987149,"(40.61527, -73.987149)"
28,40.842571,-73.942097,"(40.842571, -73.942097)"
29,40.698448,-73.915629,"(40.698448, -73.915629)"
30,40.797762,-73.963944,"(40.797762, -73.963944)"
34,40.600199,-73.743968,"(40.600199, -73.743968)"
35,40.749381,-73.867354,"(40.749381, -73.867354)"
36,40.795824,-73.932581,"(40.795824, -73.932581)"
38,40.82415,-73.917164,"(40.82415, -73.917164)"
39,40.599623,-73.949312,"(40.599623, -73.949312)"
40,40.707104,-73.945475,"(40.707104, -73.945475)"
43,40.674656,-73.927794,"(40.674656, -73.927794)"
44,40.835041,-73.845464,"(40.835041, -73.845464)"
45,40.877105,-73.912256,"(40.877105, -73.912256)"
46,40.579737,-73.956329,"(40.579737, -73.956329)"
47,40.649787,-73.95855,"(40.649787, -73.95855)"
48,40.641595,-74.085135,"(40.641595, -74.085135)"
49,40.664728,-73.886561,"(40.664728, -73.886561)"
50,40.754837,-73.874605,"(40.754837, -73.874605)"
52,40.786574,-73.948303,"(40.786574, -73.948303)"
53,40.883025,-73.830366,"(40.883025, -73.830366)"
54,40.684137,-73.995053,"(40.684137, -73.995053)"
55,40.754876,-73.863206,"(40.754876, -73.863206)"
56,40.740088,-73.926214,"(40.740088, -73.926214)"
57,40.820911,-73.825943,"(40.820911, -73.825943)"
58,40.814833,-73.85658,"(40.814833, -73.85658)"
59,40.817185,-73.897667,"(40.817185, -73.897667)"
60,40.620525,-73.959285,"(40.620525, -73.959285)"
61,40.675633,-73.783342,"(40.675633, -73.783342)"
63,40.818369,-73.86895,"(40.818369, -73.86895)"
64,40.766264,-73.930709,"(40.766264, -73.930709)"
65,40.710024,-73.812508,"(40.710024, -73.812508)"
66,40.649111,-74.009845,"(40.649111, -74.009845)"
67,40.838288,-73.902987,"(40.838288, -73.902987)"
68,40.720581,-73.985645,"(40.720581, -73.985645)"
69,40.645638,-73.883643,"(40.645638, -73.883643)"
71,40.756139,-73.772862,"(40.756139, -73.772862)"
73,40.81825,-73.91103,"(40.81825, -73.91103)"
74,40.716092,-73.999203,"(40.716092, -73.999203)"
76,40.716051,-73.998222,"(40.716051, -73.998222)"
77,40.654031,-73.894854,"(40.654031, -73.894854)"
79,40.750007,-73.721607,"(40.750007, -73.721607)"
80,40.82629,-73.881509,"(40.82629, -73.881509)"
81,40.741131,-73.918945,"(40.741131, -73.918945)"
82,40.625369,-74.15097,"(40.625369, -74.15097)"
83,40.818219,-73.890899,"(40.818219, -73.890899)"
84,40.658295,-73.920109,"(40.658295, -73.920109)"
85,40.815938,-73.930386,"(40.815938, -73.930386)"
86,40.670724,-73.874208,"(40.670724, -73.874208)"
87,40.861371,-73.869296,"(40.861371, -73.869296)"
88,40.716668,-74.013542,"(40.716668, -74.013542)"
89,40.621871,-73.987396,"(40.621871, -73.987396)"
90,40.680463,-73.922264,"(40.680463, -73.922264)"
92,40.825025,-73.906143,"(40.825025, -73.906143)"
93,40.720581,-73.985645,"(40.720581, -73.985645)"
94,40.692642,-73.958794,"(40.692642, -73.958794)"
95,40.528092,-74.192032,"(40.528092, -74.192032)"
98,40.75146,-73.817849,"(40.75146, -73.817849)"
99,40.630818,-74.139187,"(40.630818, -74.139187)"
100,40.823075,-73.946309,"(40.823075, -73.946309)"
101,40.716553,-73.993092,"(40.716553, -73.993092)"
102,40.880873,-73.860904,"(40.880873, -73.860904)"
104,40.847012,-73.93704,"(40.847012, -73.93704)"
106,40.673426,-73.984553,"(40.673426, -73.984553)"
108,40.5993,-73.758206,"(40.5993, -73.758206)"
109,40.720581,-73.985645,"(40.720581, -73.985645)"
112,40.669719,-73.892822,"(40.669719, -73.892822)"
113,40.843546,-73.889755,"(40.843546, -73.889755)"
115,40.698582,-73.940736,"(40.698582, -73.940736)"
116,40.697788,-73.913906,"(40.697788, -73.913906)"
