,latitude,longitude,location
0,40.60758313,-74.12094047,"(40.60758313, -74.12094047)"
1,40.88725993,-73.91481988,"(40.88725993, -73.91481988)"
2,40.6242969,-74.16457988,"(40.6242969, -74.16457988)"
3,40.59880884,-73.93271563,"(40.59880884, -73.93271563)"
4,40.77183114,-73.94925768,"(40.77183114, -73.94925768)"
5,40.55604719,-74.13697333,"(40.55604719, -74.13697333)"
6,40.5964467,-73.76705409,"(40.5964467, -73.76705409)"
7,40.59883232,-73.74024741,"(40.59883232, -73.74024741)"
8,40.59769821,-73.79379406,"(40.59769821, -73.79379406)"
9,40.59917922,-73.75407331,"(40.59917922, -73.75407331)"
10,40.90562169,-73.90431104,"(40.90562169, -73.90431104)"
11,40.630369,-74.14918714,"(40.630369, -74.14918714)"
12,40.84929139,-73.8864306,"(40.84929139, -73.8864306)"
13,40.63001335,-74.14134794,"(40.63001335, -74.14134794)"
14,40.56351928,-74.12911163,"(40.56351928, -74.12911163)"
15,40.60387286,-73.75933979,"(40.60387286, -73.75933979)"
16,40.57630708,-74.09750656,"(40.57630708, -74.09750656)"
17,40.62435604,-74.14583715,"(40.62435604, -74.14583715)"
18,40.61697345,-74.14985921,"(40.61697345, -74.14985921)"
19,40.6375068,-73.94687458,"(40.6375068, -73.94687458)"
20,40.55990022,-74.13428369,"(40.55990022, -74.13428369)"
21,40.63417312,-74.13587527,"(40.63417312, -74.13587527)"
22,40.81963993,-73.89482956,"(40.81963993, -73.89482956)"
23,40.84995028,-73.90973544,"(40.84995028, -73.90973544)"
24,40.8792089,-73.89843089,"(40.8792089, -73.89843089)"
25,40.88170457,-73.87948045,"(40.88170457, -73.87948045)"
26,40.5604312,-74.13410146,"(40.5604312, -74.13410146)"
27,40.74146506,-73.97982363,"(40.74146506, -73.97982363)"
28,40.60913366,-74.15721049,"(40.60913366, -74.15721049)"
29,40.6042452,-74.12531896,"(40.6042452, -74.12531896)"
30,40.57289609,-74.11445559,"(40.57289609, -74.11445559)"
31,40.61283538,-74.14237405,"(40.61283538, -74.14237405)"
32,40.69808661,-73.93656016,"(40.69808661, -73.93656016)"
